From,To,Length(m),Azimuth(deg),Clino(deg)
19@Friend_Elevator,20@Friend_Elevator,4.31,337.93,19.50
20@Friend_Elevator,-,2.03,199.23,79.00
20@Friend_Elevator,-,1.80,232.63,12.50
20@Friend_Elevator,-,9.47,354.63,47.70
20@Friend_Elevator,-,7.20,331.53,27.70
20@Friend_Elevator,-,5.78,329.03,20.40
20@Friend_Elevator,-,3.62,3.73,32.50
20@Friend_Elevator,-,2.09,63.43,22.80
20@Friend_Elevator,-,0.16,64.83,43.80
20@Friend_Elevator,-,2.30,44.93,72.10
20@Friend_Elevator,-,0.35,338.23,-81.10
20@Friend_Elevator,-,1.92,338.23,8.50
20@Friend_Elevator,-,1.60,189.73,4.40
19@Friend_Elevator,21@Friend_Elevator,6.72,139.03,-35.60
21@Friend_Elevator,-,8.56,139.33,-35.10
21@Friend_Elevator,-,6.71,139.53,-35.20
21@Friend_Elevator,-,1.60,167.63,72.80
21@Friend_Elevator,-,1.64,52.93,61.70
21@Friend_Elevator,-,2.53,139.53,21.70
21@Friend_Elevator,-,2.13,180.13,29.10
21@Friend_Elevator,-,2.03,213.33,-12.60
21@Friend_Elevator,-,3.72,215.03,-24.60
21@Friend_Elevator,-,4.34,223.83,-30.30
21@Friend_Elevator,-,5.98,216.43,-35.60
21@Friend_Elevator,-,4.72,163.53,-26.50
21@Friend_Elevator,-,4.04,187.13,-36.70
21@Friend_Elevator,-,1.79,253.33,-36.10
21@Friend_Elevator,23@Friend_Elevator,6.32,221.73,-39.30
23@Friend_Elevator,-,1.70,22.83,62.10
23@Friend_Elevator,-,1.11,52.73,-83.90
23@Friend_Elevator,-,1.41,31.63,2.30
23@Friend_Elevator,24@Friend_Elevator,4.40,323.23,-7.60
24@Friend_Elevator,-,1.19,93.23,87.40
24@Friend_Elevator,-,1.14,208.33,-86.20
24@Friend_Elevator,-,0.58,209.33,0.50
24@Friend_Elevator,25@Friend_Elevator,3.24,293.43,-1.30
25@Friend_Elevator,-,0.73,32.93,73.70
25@Friend_Elevator,-,1.00,60.23,-74.80
25@Friend_Elevator,-,0.56,45.13,7.30
25@Friend_Elevator,26@Friend_Elevator,3.79,330.43,5.90
26@Friend_Elevator,-,0.97,234.73,86.30
26@Friend_Elevator,-,1.18,232.03,-73.90
26@Friend_Elevator,-,0.59,219.73,-5.00
26@Friend_Elevator,27@Friend_Elevator,4.09,309.43,6.50
27@Friend_Elevator,-,0.69,61.53,67.70
27@Friend_Elevator,-,1.12,284.13,-87.90
27@Friend_Elevator,-,0.67,65.83,0.70
27@Friend_Elevator,28@Friend_Elevator,2.89,335.93,2.50
28@Friend_Elevator,-,1.48,203.93,70.60
28@Friend_Elevator,-,1.22,221.63,-73.90
28@Friend_Elevator,-,1.03,214.73,10.50
23@Friend_Elevator,29@Friend_Elevator,5.28,123.83,-16.40
29@Friend_Elevator,-,5.01,7.83,54.40
29@Friend_Elevator,-,0.54,338.93,-79.00
29@Friend_Elevator,-,2.49,16.13,9.30
29@Friend_Elevator,-,2.55,62.73,-18.70
29@Friend_Elevator,30@Friend_Elevator,1.83,62.73,-17.20
30@Friend_Elevator,-,1.03,192.03,55.20
30@Friend_Elevator,-,0.37,286.63,-78.00
30@Friend_Elevator,-,2.04,356.83,-13.60
30@Friend_Elevator,-,0.77,218.33,8.20
30@Friend_Elevator,-,0.34,236.13,-19.90
30@Friend_Elevator,31@Friend_Elevator,4.47,154.13,-10.80
31@Friend_Elevator,-,1.08,176.93,82.70
31@Friend_Elevator,-,1.40,77.03,-78.00
31@Friend_Elevator,-,1.08,272.23,2.50
31@Friend_Elevator,-,0.72,128.83,20.30
31@Friend_Elevator,-,3.47,201.83,-39.30
31@Friend_Elevator,-,3.56,201.43,-39.40
31@Friend_Elevator,-,3.46,201.63,-39.30
31@Friend_Elevator,-,1.41,250.93,88.10
31@Friend_Elevator,-,0.56,42.83,-78.90
31@Friend_Elevator,-,0.70,71.13,0.10
31@Friend_Elevator,-,0.62,324.23,13.60
31@Friend_Elevator,32@Friend_Elevator,2.15,251.23,7.30
32@Friend_Elevator,-,2.77,210.93,54.20
32@Friend_Elevator,-,2.12,274.83,-83.40
32@Friend_Elevator,-,1.62,124.23,8.60
32@Friend_Elevator,-,1.53,287.93,-2.60
32@Friend_Elevator,33@Friend_Elevator,3.67,235.83,-43.60
33@Friend_Elevator,-,2.94,261.53,82.80
33@Friend_Elevator,-,1.58,89.53,-60.10
33@Friend_Elevator,-,1.10,107.13,-7.20
33@Friend_Elevator,34@Friend_Elevator,8.52,160.03,-43.50
34@Friend_Elevator,-,1.98,17.23,85.80
34@Friend_Elevator,-,5.76,75.53,-1.40
34@Friend_Elevator,-,3.87,73.43,17.80
34@Friend_Elevator,-,3.45,33.93,35.70
34@Friend_Elevator,-,1.92,178.83,38.90
34@Friend_Elevator,-,3.84,193.23,22.00
34@Friend_Elevator,-,4.05,193.43,21.90
34@Friend_Elevator,-,1.93,209.73,35.10
34@Friend_Elevator,-,1.78,248.03,52.70
34@Friend_Elevator,-,3.89,253.93,62.10
34@Friend_Elevator,-,1.05,278.53,5.70
34@Friend_Elevator,-,3.21,297.33,52.10
34@Friend_Elevator,-,1.60,5.03,2.50
34@Friend_Elevator,-,2.52,343.23,4.70
34@Friend_Elevator,-,1.96,335.53,8.00
# Equated stations
ent@(null),0@(null)
# End equated stations
